Date,Year,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
3/16/2005,2005,0,0,0,0
3/17/2005,2005,0,0,0,0
3/18/2005,2005,0,0,0,0
3/19/2005,2005,0,0,0,0
3/20/2005,2005,0,0,0,0
3/21/2005,2005,0,0,0,0
3/22/2005,2005,0,0,0,0
3/23/2005,2005,0,0,0,0
3/24/2005,2005,0,0,0,0
3/25/2005,2005,0,0,0,0
3/26/2005,2005,0,0,0,0
3/27/2005,2005,0,0,0,0
3/28/2005,2005,0,0,0,0
3/29/2005,2005,0,0,0,0
3/30/2005,2005,0,0,0,0
3/31/2005,2005,0,0,0,0
4/1/2005,2005,0,0,0,0
4/2/2005,2005,0,0,0,0
4/3/2005,2005,0,0,0,0
4/4/2005,2005,3,13,0,2
4/5/2005,2005,14,3,1,58
4/6/2005,2005,59,38,77,119
4/7/2005,2005,0,0,0,0
4/8/2005,2005,75,0,0,6
4/9/2005,2005,0,0,0,0
4/10/2005,2005,0,0,0,0
4/11/2005,2005,0,0,0,0
4/12/2005,2005,0,4,12.5,10
4/13/2005,2005,0,0,0,0
4/14/2005,2005,0,0,0,0
4/15/2005,2005,0,0,0,0
4/16/2005,2005,0,0,0,0
4/17/2005,2005,0,0,0,0
4/18/2005,2005,0,0,0,0
4/19/2005,2005,0,0,0,0
4/20/2005,2005,0,0,0,0
4/21/2005,2005,0,0,0,0
4/22/2005,2005,0,0,0,0
4/23/2005,2005,0,0,0,0
4/24/2005,2005,0,0,0,0
4/25/2005,2005,0,0,0,0
4/26/2005,2005,0,0,0,0
4/27/2005,2005,0,0,0,0
4/28/2005,2005,0,0,0,0
4/29/2005,2005,1,0,0,0
4/30/2005,2005,0,0,0,0
5/1/2005,2005,0,0,0,0
5/2/2005,2005,15,0,8,23
5/3/2005,2005,0,0,0,0
5/4/2005,2005,0,26,14,5
5/5/2005,2005,0,8,4,7
5/6/2005,2005,0,0,0,0
5/7/2005,2005,8,0,0,0
5/8/2005,2005,8,0,0,0
5/9/2005,2005,8,0,0,0
5/10/2005,2005,0,0,0,0
5/11/2005,2005,0,0,0,0
5/12/2005,2005,0,0,0,0
5/13/2005,2005,0,0,0,0
5/14/2005,2005,0,0,0,0
5/15/2005,2005,0,0,0,0
5/16/2005,2005,0,0,0,0
5/17/2005,2005,0,0,0,0
5/18/2005,2005,0,0,0,0
5/19/2005,2005,0,0,0,0
5/20/2005,2005,0,0,0,0
5/21/2005,2005,0,0,0,0
5/22/2005,2005,0,0,0,0
5/23/2005,2005,0,0,0,0
5/24/2005,2005,0,0,0,0
5/25/2005,2005,0,0,0,0
5/26/2005,2005,5,0,0,0
5/27/2005,2005,0,0,0,0
5/28/2005,2005,0,0,0,0
5/29/2005,2005,0,0,0,0
5/30/2005,2005,8,0,0,0
5/31/2005,2005,0,0,0,0
6/1/2005,2005,0,0,0,0
6/2/2005,2005,0,0,0,0
6/3/2005,2005,0,0,0,0
6/4/2005,2005,17,0,0,0
6/5/2005,2005,0,0,0,0
6/6/2005,2005,0,0,0,0
6/7/2005,2005,0,0,0,0
6/8/2005,2005,0,0,0,0
6/9/2005,2005,7,66,32,41
6/10/2005,2005,0,0,0,0
6/11/2005,2005,0,0,0,0
6/12/2005,2005,0,0,0,0
6/13/2005,2005,0,0,0,0
6/14/2005,2005,0,0,0,0
6/15/2005,2005,0,0,0,0
6/16/2005,2005,0,0,0,0
6/17/2005,2005,0,0,0,0
6/18/2005,2005,0,0,0,0
6/19/2005,2005,0,0,0,0
6/20/2005,2005,0,0,0,0
6/21/2005,2005,21,0,3,6
6/22/2005,2005,0,0,0,0
6/23/2005,2005,1,0,0,6
6/24/2005,2005,0,0,0,0
6/25/2005,2005,0,0,0,0
6/26/2005,2005,0,0,0,0
6/27/2005,2005,0,0,0,0
6/28/2005,2005,0,0,0,0
6/29/2005,2005,0,0,0,0
6/30/2005,2005,0,0,0,0
7/1/2005,2005,0,0,0,0
7/2/2005,2005,0,0,0,0
7/3/2005,2005,1,0,0,0
7/4/2005,2005,0,0,0,0
7/5/2005,2005,0,0,0,0
7/6/2005,2005,9,3,7,0
7/7/2005,2005,0,0,0,6
7/8/2005,2005,0,0,0,0
7/9/2005,2005,0,0,0,2
7/10/2005,2005,0,0,0,0
7/11/2005,2005,0,0,0,0
7/12/2005,2005,0,0,0,0
7/13/2005,2005,0,0,0,0
7/14/2005,2005,0,0,0,0
7/15/2005,2005,17,0,0,0
7/16/2005,2005,0,0,0,0
7/17/2005,2005,0,0,0,0
7/18/2005,2005,0,0,0,0
7/19/2005,2005,3,0,0,0
7/20/2005,2005,10,2,4,5
7/21/2005,2005,19,22,16,52
7/22/2005,2005,0,14,7,0
7/23/2005,2005,7,24,29,3
7/24/2005,2005,5,26,23,27
7/25/2005,2005,0,0,0,0
7/26/2005,2005,0,0,0,4
7/27/2005,2005,0,3,1,3
7/28/2005,2005,0,0,0,0
7/29/2005,2005,0,0,0,5
7/30/2005,2005,0,0,0,0
7/31/2005,2005,0,0,0,0
8/1/2005,2005,1,11,0,0
8/2/2005,2005,0,0,0,0
8/3/2005,2005,0,0,0,0
8/4/2005,2005,0,0,0,0
8/5/2005,2005,0,0,0,0
8/6/2005,2005,0,0,0,0
8/7/2005,2005,0,0,0,0
8/8/2005,2005,0,0,0,0
8/9/2005,2005,5,0,2,0
8/10/2005,2005,0,0,0,0
8/11/2005,2005,1,0,0,4
8/12/2005,2005,0,0,0,0
8/13/2005,2005,0,0,0,0
8/14/2005,2005,0,6,8,0
8/15/2005,2005,20,17,35,10
8/16/2005,2005,19,26,38,12
8/17/2005,2005,26,17,17,0
8/18/2005,2005,0,0,0,0
8/19/2005,2005,0,0,0,0
8/20/2005,2005,0,0,0,11
8/21/2005,2005,0,3,0,0
8/22/2005,2005,0,0,0,0
8/23/2005,2005,5,0,0,0
8/24/2005,2005,0,0,0,0
8/25/2005,2005,0,0,0,0
8/26/2005,2005,51,9,6,13
8/27/2005,2005,1,6,25,8
8/28/2005,2005,0,0,0,0
8/29/2005,2005,0,0,0,0
8/30/2005,2005,0,0,0,0
8/31/2005,2005,2,3,0,0
9/1/2005,2005,0,6,21,0
9/2/2005,2005,5,0,0,3
9/3/2005,2005,0,0,0,0
9/4/2005,2005,0,0,0,3
9/5/2005,2005,9,0,0,4
9/6/2005,2005,0,0,0,0
9/7/2005,2005,41,24,2,13
9/8/2005,2005,3,16,18,9
9/9/2005,2005,8,9,5,73
9/10/2005,2005,6,14,12,52
9/11/2005,2005,27,46,40,32
9/12/2005,2005,0,0,0,0
9/13/2005,2005,0,0,0,0
9/14/2005,2005,0,0,0,0
9/15/2005,2005,0,0,0,0
9/16/2005,2005,5,0,0,0
9/17/2005,2005,0,0,0,0
9/18/2005,2005,0,0,0,0
9/19/2005,2005,0,0,0,0
9/20/2005,2005,0,0,0,0
9/21/2005,2005,0,0,0,0
9/22/2005,2005,0,0,0,0
